text	label	cer	pol	tense
＂동양에서는 예로부터 장수를 위해서는 오자를 추천했는데요, 오미자, 사상자 복분자, 토사자, 구기자 등의 자(子)자로 끝나는 식물입니다.＂	2	1	2	1
두 공기업의 임직원들은 통합의 목적이 공기업을 바로 세우는 데 있음을 명심하고 밥그릇 싸움을 자제해야 할 것이다.	1	1	2	2
썩은 나무가 정치를 좌지우지하고 걸어다니는 시체가 권력을 쥐고 있으니 나라의 불행이 점점 가까이 다가오는구나.	2	1	2	0
해경의 자진 월북 발표에 반발한 유족은 청와대 국가안보실, 해경청, 국방부를 상대로 정보공개 청구 소송을 제기해 1심에서 일부 승소했다.	0	1	2	0
＇최초 척수장애인 재활학 박사＇ ＇청년 소방관＇ ＇경력단절 극복 스타트업 대표＇ 등 스토리텔링이 아기자기하다.	1	1	2	1
거리 부정, 부정, 가망청배 등이 여기에 해당됩니다.	2	1	2	1
＂젓갈을 담그려면 먼저 멍게를 절여야 하거든요.＂	2	1	2	1
＂아니 셰프님, 그건 아까 시럽을 만든 머그잔이잖아요.＂	2	1	2	1
똑똑해진 유권자들이 진부한 과거 선거전략에 흔들리지 않았기 때문으로 분석된다.	1	1	2	1
＂여기에 잘게 찢은 북어 반 줌, 무말랭이 반 줌을 넣을게요.＂	2	1	2	2
＂맞습니다, 그래서 조림장에 메추리알 20개를 넣고요.＂	2	1	2	1
냉장고를 맹신하거나 끓인 음식이라고 안전하다는 생각은 금물이다.	1	1	2	1
전 세계에서 가장 높은 두바이 부르즈 칼리파 빌딩은 ＇볼일＇을 보며 두바이 전체를 조망할 수 있게 통유리로 뷰를 선사하고 있습니다.	2	1	2	1
현재는 시 본청 전체는 물론 산하 사업소 직원들까지 참여하고 있으며, 부산시 소방본부 등 유관기관 직원들의 참여도 꾸준히 늘고 있다.	1	1	2	1
＂자, 그럼 소고기에도 밑간을 해볼게요.＂	2	1	2	1
시국선언 교사 징계를 유보해 교육과학기술부로부터 직무유기 혐의로 고발당한 김 교육감은 지난 11일 검찰의 소환 통보에 대해 ＂출석 소환장을 받았지만 검찰 출석은 하지 않을 계획＂이라고 밝혔다.	1	1	1	0
＂두 가지 동작을 합쳐서 5분간 해보겠습니다.＂	2	1	2	2
여태까지 산타에게 받은 선물은 사실은 엄마 아빠가 준비해 준 것이라는 것을 알게 될 수도 있을 것이다.	3	0	0	2
`비타민이 풍부해서 피로 해소에도 좋고요.`	2	1	2	1
`40세 이상이라면 국민건강보험에서 2년에 한 번씩 유방 검사하라고 통지 오는 거, 받아보시죠?`	2	0	2	1
자사주를 사서 없애버리는 일에서 미래 가치를 기대할 수 없다.	1	1	1	2
`아까보다 피부가 훨씬 환해진 것 같아요.`	2	1	2	1
도전 정신으로 가득 찬 한국 선수들의 모습은 국민들에게 큰 용기와 미래에 대한 더욱 가슴 벅찬 희망을 갖게 했다.	1	1	2	0
`생식으로 2년 7개월 만에 당 수치가 정상으로 돌아왔다고 하니 관심 가지는 분들이 굉장히 많을 것 같아요.`	2	1	2	1
＂제가 직접 농사 지으니 마음 편하게 먹을 수 있고 좋아요.＂	2	1	2	1
추가적인 실업수당을 위해 2600억달러, 중소기업 구제를 위해 3670억달러가 배정되었습니다.	2	1	2	0
전작 SBS ＇커피하우스＇와 비슷한 이미지로 등장한 그녀는 혜미가 하자는 일에는 무조건 하는 중심이 없는 인물이다.	0	1	2	1
코스피 선물 이나 주식 매매를 하는 분들에게 팁을 드리지만 채널하단에서 매수 후 단기적으로 채널 상단까지 보시면 될 것 같고, 손절은 하단 채널 깨지면 거기서 하는 방법을 추천 드린다. 	1	1	2	1
지난해 12월 애니메이션 ＇다이노 맘＇ 등 4개 콘텐츠에 대해 한국콘텐츠진흥원의 프로젝트 심사와 기술보증기금의 실사 평가만으로 무담보 대출을 결정했다.	0	1	2	0
정상적인 국가라면 모든 국민이 소방 서비스를 누릴 수 있어야 한다고 사회 구성원이 동의하기 때문입니다.	2	1	2	1
한국이 가입을 미루는 경우에는 영국의 가입절차가 완료될 때까지 기다려야 하고, 그때까지는 미국이 가입 절차 대기열에 합류할 수도 있다.	1	1	2	1
컴투스홀딩스 이종석 실장은 ‘C2X: 게임xNFT’를 주제로 자체 블록체인 플랫폼 C2X의 성과와 향후 방향성을 소개한다.	0	1	2	2
부산시는 이미 소매요금은 주택취사용 현행 ㎥당 715.63원에서 750.51원으로 4.87%, 업무난방용은 845.14원에서 880.02원으로 4.13% 각각 인상했다.	0	1	2	0
관객 수 제한에서 자유로워진 대형 공연들의 매진 행렬도 이어졌다.	0	1	2	0
하지만 지난 일주일간 벌어진 루나 사태로 가상화폐는 여전히 화폐가 아니라고 결론짓는 분위기다.	0	1	2	1
＂눈으로만 봐도 벌써 상큼한데요.＂	2	1	2	1
`저라면 이 콩잎물김치를 막 삶은 야들야들하고 부들부들한 돼지고기 수육에 싸서 먹겠습니다.`	2	1	2	2
＂저는 원칙과 신뢰로 20년 동안 요리를 해왔습니다.＂	2	1	2	0
＂그러면 김치도 따로 양념을 해야 하나요?＂	2	0	0	2
병마로 쓰러지기 직전에도 ＇1등의 위기, 자만의 위기와 힘겨운 싸움을 해야 한다＇며 ＇이제 질을 넘어 제품과 서비스, 사업의 품격과 가치를 높여야 할 때＇라고 말했다.	0	1	2	0
박근혜정부가 주한미군기지에 사드 배치를 결정할 당시 사드 레이더 성능에 대한 중국의 우려와 비난은 그 자체가 비과학적이었지만 우리 정부는 제대로 대응하지 못했다.	0	1	1	0
지난해 6월에는 부분변경 모델인 더뉴 QM6로 진화했다.	0	1	2	0
＂그렇죠, 여기에 춥다고 너무 움츠려만 계시지 말고 혈액순환을 개선해서 체온을 올릴 수 있는 간단한 운동까지 병행하면 이 겨울 더욱 건강하게 지내실 수 있을 것 같거든요?＂	2	1	2	1
기뢰부설함은 원산함과 남포함은6.25 전쟁 당시 우리해군이 기뢰전을 수행한 북한의 지역 명칭을, 해군기지에 인접한 군 읍 지역 명칭을 사용하는 기뢰탐색함인 강경함, 강진함, 김포함,고령함, 금화함, 소해함은 해군기지에 인접한 군,읍 지역 명칭을 적용한 양양함, 옹진함, 해남함 등이 있다.	0	1	2	1
따라서 회원국이 된 한국은 규칙수용자가 아닌 규칙조성자로 변모하게 될 것이다.	3	0	0	2
이들이 조자룡 헌 칼처럼 휘두르는 개념은 효율과 최적입니다.	2	1	2	1
반면 해외로 나간 우리나라 여행객 수는 2015년 1931만명에서 2017년엔 2649만명으로 가히 폭발적인 증가세를 보였다.	0	1	2	0
트러스톤자산운용이 바라보는 올 증시 전망은 긍정적이다.	0	1	2	1
`다리가 아파서요.`	2	1	2	1
＂바로 알루미늄 호일로 냉동 삼겹살을 감싸서 해동하는 겁니다.＂	2	1	2	2
5G 시대 개막은 단순히 통신망 속도가 현재 LTE(4G) 서비스보다 10~100배 증가한다는 의미가 아니다.	0	1	1	1
신영민 원장은 ＂일이 주어지기를 기다리지 말고, 일을 스스로 찾고 만들어서 즐겁게 일하되 열심히 보다는 스마트하게 일해야 한다＂며 ＂그러기 위해서 항상 준비해야 하고, 준비하려면 평소에 수시로 메모하는 습관을 가져야 한다＂고 강조했다.	1	1	2	0
강 회장은 행장을 연임했고, 이번에 회장이 되면 사실상 3연임을 하는 거나 다름없다.	1	1	2	1
＂특히 방풍의 뿌리에는 쿠마린이라는 성분이 풍부하게 들어있습니다.＂	2	1	2	1
매일경제신문은 올 연말 V클린 시상식을 통해서도 건전한 정보윤리 교육에 힘쓴 학교를 선정해 시상할 계획이다.	3	1	0	1
그런데 대한민국의 현실을 살펴보면 해답이 없어 보인다.	1	0	1	1
＂600 이상이면 대단히 높은 수치인데, 젊은 나이에 어떻게 당뇨병까지 진단을 받으신 건가요?＂	2	1	2	0
하지만 상황을 역전시켜 비핵화를 이룰 문재인정부의 한 방이 무엇인지 궁금하긴 하다.	1	1	2	1
＂끓기 시작하면 중 불에 30분 정도 끓여 주시면 됩니다.＂	2	1	2	2
경북 김천 수도암에서 수행 중인 원제 스님(40)이 요즘 신선한 공감을 불러일으키고 있다.	0	1	2	1
`왜 잎이랑 뿌리만 쓰세요?`	2	1	2	1
임주리는 엄마의 끼와 재능을 고스란히 물려받은 아들과 함께 ＇립스틱 짙게 바르고＇를 함께 열창하며 특급 하모니를 선사했다.	0	1	2	0
＂하지만 식초와 함께 먹으면 식초가 설탕이 혈당을 급격하게 상승하는 것을 막아주는 역할을 하기 때문에 걱정하지 않으셔도 됩니다.＂	2	1	1	1
＂재료들을 넣는 최적의 타이밍이 따로 있어요.＂	2	1	2	1
개별관광이나 남북 철도 연결 프로젝트가 북한 비핵화를 가져오지 않는다.	0	1	1	1
그는 학사학위가 그의 배우 커리어에 어떤 영향을 미칠지 깊이 고민할 수도 있을 것이다.	3	0	0	2
유엔 사무총장이었던 쿠르트 발트하임은 저우가 죽자 유엔에 조기를 계양했다.	0	1	2	0
이 힘은 금기 없는 사유, 거침없는 질문 그리고 치열한 토론에서 시작된다.	0	1	2	1
지난해 11월에는 보험업계 대표 장수 CEO였던 차남규 한화생명 부회장이 물러났다.	0	1	2	0
미국과 중국 틈바구니에 낀 한국은 잠시만 한눈팔아도 벼랑으로 몰릴 수 있다.	1	0	2	1
선조들이 물려준 반만년 정신문화적 자산 속에 새로운 미래에 대한 혜안이 담겨 있다.	0	1	2	0
고용안정성으로 대학생들의 취업선호도가 높은 공무원, 공기업이 앞으로 신규인력 채용을 축소한다는 소식이 이어지면서 이에 대한 대학생들의 근심도 드러나 있는 것으로 보인다.	1	0	2	1
＂**쌤, 절임장은 얼마나 끓여 주면 되나요?＂	2	1	2	1
아파트와 상가를 기획한 회사는 건설사도, 유통 기업도 아닌 대신증권이다.	0	1	2	1
하산 후 참가자들 모두 싸리골이라는 음식점에 모여 이야기를 나누었다.	1	1	2	0
암에 대해 쉽게 이해할 수 있도록 암을 극복한 연예인, 의료계 인사 등 다양한 연사가 나서 건강 강좌를 펼친다.	0	1	2	1
분양가상한제 적용지역도 대폭 늘어난다.	1	1	2	2
두피의 유수분 밸런스를 조절해야 하는데 무조건 지성 샴푸만 찾지 말고 적당한 보습력을 지녀 딥 클렌징의 상쾌함을 느끼면서 동시에 컨디셔닝한 것 같은 사용감이 있어야 한다.	1	1	2	1
무선 통신 글로벌 기업인 모토로라는 올해 한국 시장에 처음으로 내놓은 Z6m의 후속 제품으로 Z6m 다크실버를 출시한다고 31일 밝혔다.	0	1	2	0
불공정거래범죄로 인한 부당이득 산정방식의 법제화도 서둘러야 할 것이다.	1	1	2	2
아마 특별취재팀 사상 역대 최고 기록이지 않을까 싶다.	1	0	2	1
리더 김재경이 앨범 제작부터 MD 상품 디자인까지 직접 맡아 정성을 더했다.	0	1	2	0
＂혈당과 혈중 지질을 낮추는 데도 도움을 줍니다.＂	2	1	2	1
젊은이들이 가장 갈구하는 목표는 당 간부가 되는 것이다.	0	1	2	2
이날 쇼케이스 영상은 배우 황정민이 ‘미르M’의 배경인 은행골을 비롯해 비천성 상점 거리 등을 게임 속에 직접 들어온 것처럼 거닐며 주요 특징을 소개하는 형식으로 제작돼 눈길을 끌었다.	1	1	2	0
다른 방법으로는 미지수이나, 공감 대화로 양육된 아이들은 자존감이 높을 가능성이 높다.	3	0	0	2
수요가 줄면 가격이 떨어지는 것은 당연하다.	0	1	2	1
많은 사람들이 가방을 사용할 것이다.	3	0	0	2
얼마 전 스위스 국민투표에서 부결된 ＇기초소득 300만원＇을 부자나라의 복지 논쟁쯤으로 생각하면 사안의 본질을 잘못 이해한 것이다.	1	1	2	0
＇디오피니언＇이라는 기관의 조사 결과는 더욱 드라마틱하다.	0	1	2	1
오는 19일까지 화이트데이 이벤트도 열린다.	3	1	2	1
나는 움직이는 것을 싫어하므로 살 빼기에 실패할 것이다.	3	0	0	2
편리함으로 물티슈 사용이 증가하고 있는데, 이로 인해 쓰레기가 많아지고 환경 오염문제가 발생할 것이다.	3	0	1	2
＂위산이 얼마나 강력한지 먼저 화면으로 알아볼게요.＂	2	1	2	2
김동욱 법무법인 세종 변호사는 ＂그동안 노동계는 고령자 고용촉진법이 정년 연장을 규정했을 뿐 임금피크제의 근거는 되지 않는다고 주장했다＂며 ＂정년을 연장하는 것과 임금을 깎는 것이 교환 관계에 있다고 법원이 명시한 것＂이라고 설명했다.	0	1	2	0
`그러면 아까 ** 씨가 걱정하셨던 물비린내, ** 씨가 걱정하셨던 강한 식초 향은 싹 사라집니다.`	2	1	2	1
`쌀은 물에 미리 불려놨고요, 부추는 4cm 정도 길이로 썰어 놓고, 검은깨는 갈아서 준비하시면 됩니다.`	2	1	2	1
보건복지부의 건강정책국에 자살예방정책과를 두었고, 또 보건복지부 산하에 중앙자살예방센터를 두어서 자살 예방을 위한 각종의 활동을 하고 있습니다.	2	1	2	1
표면적으로는 두 기업의 Win-Win Situation으로 보이나 실질적 사업내용에서는 각자의 이익을 챙기기 앞서 사업전체가 흔들리는 사례가 많다.	0	1	2	1
김포 장릉 앞 아파트 수분양자들은 최근 일주일 새 천국과 지옥을 오갔다.	0	1	2	0
아이스티로 즐기면 열대과일 향을 더욱 풍부하게 느낄 수 있다.	1	1	2	2
(표 참조)이번 민간심사기관 지정·운영은 잠재적 위해성이 낮은 2등급 의료기기에 대한 기술문서심사를 민간에 위탁해 허가심사 기간을 단축하고, 위험성 높은 의료기기의 안전관리에 역량을 집중하기 위해서 이뤄졌다.	1	1	2	0
`저는 오늘 말해주는 거 하나하나 다 기억해서 갈 거예요.`	2	1	2	2
＂한 가지 더 말씀드리자면 비타민B를 드신다고 해서 대사증후군이 완화되는 건 아니에요.＂	2	1	1	1
연예인이 정치적 발언을 하지 않도록 주의를 주어야 할 것이다.	3	0	0	2
미·중은 오는 15일 1단계 무역합의에 서명할 예정이다.	0	1	2	2
＂그럼 진단 후에 바로 생식을 시작하셨어요?＂	2	0	0	0
또한 통상 단기 채권의 금리가 장기 채권의 금리보다 낮습니다.	2	1	2	1
이 때문에 그 동안 올해 중국증시의 전망이 좋다고 입을 모았던 많은 전문가들이 화들짝 놀라는 반응을 보이기도 했다.	1	1	2	0
토끼가 용왕을 희롱하고 돌아온 얘기를 다룬 판소리 ＇수궁가＇를 독일 출신의 세계적 연출가 아힘 프라이어가 극으로 만들면 또 어떤 감흥을 줄 것인가.	2	0	0	2
이로써 우리나라의 기준금리는 기존 1.75%에서 0.5%P 상승한 2.25%가 되었습니다.	2	1	2	0
여행지 맛집을 찾아 다니는 ‘맛집기행’에 이어, 몇 년 전부터는 지역별 유명 빵집을 찾아 다니는 ‘빵지순례’가 인기를 끌면서 전국 빵순이·빵돌이를 잡기 위해 호텔들이 앞다퉈 시그니처 베이커리 제품을 내놓고 있다.	0	1	2	1
블리자드는 이번 출시 이후 몇 개월 단위로 신규 던전과 지역, 시즌, 직업, 게임 내 실시간 이벤트 등을 추가하며 즐길거리를 확장할 계획이다.	3	0	2	2
우선 비위생적인 제조·조리 행위를 근절하기 위해 편의점(휴게음식점 등) 조리음식, 백화점·대형마트 즉석식품, 패밀리레스토랑·프랜차이즈 음식점, 백화점·대형마트 PB식품 등을 월별로 집중 단속한다.	3	1	2	1
＂일본의 국립장수의료연구센터에서 평균연령 74세 남녀의 대변을 분석해봤더니, 치매 환자의 대변에 유익균이 현저히 적었다는 연구결과가 나왔습니다.＂	2	1	2	1
이런 추세가 연말까지 이어질 전망이며 한국은행은 기준금리를 연내 0.25~0.50% 포인트를 추가 인상할 가능성도 큽니다.	2	1	2	2
특히 건강기능식품은 입출고시 2회의 검사를 시행하는 의약품용 규격 한약재와는 달리 자가품질검사만을 실시하였으나 지난 2015년 4월 가짜 백수오 사태 이후 부랴부랴 ＇원재료의 검사 확인 의무＇ 조항을 신설해 일부 건강기능식품에 한해 오는 2월부터 적용에 들어간다.	0	1	2	1
＇공유가치 창출(CSV) 경영＇에도 관심을 기울이고 있다.	0	1	0	1
＂73세 박** 씨가 엄지병원 방문해 주셨거든요, 진료실로 들어오세요.＂	2	1	2	1
코로나19로 인해 지난 1년 동안 개인들의 소비 패턴이 많이 바뀌고 사회 전반에 변화와 혁신이 요구되고 있다.	0	1	2	1
만약 딱 잘라서 말하는 자가 있다면 공부가 덜 됐거나 경솔한 자일 가능성이 높다.	1	1	2	1
목동신시가지아파트 단지를 모두 3종 일반주거지역으로 지정할 수는 있었다.	0	0	2	0
국내 최대 비즈니스 테크쇼로 꼽히는 `제11회 스마트테크 코리아`가 8일 서울 코엑스에서 사흘간의 대장정에 들어갔다.	0	1	2	0
＂이때, 바지락에서 나오는 육수가 감칠맛을 올려줘요.＂	2	1	2	2
그는 사찰 노비가 부유한 것을 알고 자신의 종으로 만들기 위해 옥새를 위조해 문서를 만들었다가 적발돼 옥에 갇혔다.	0	1	2	0
자산에 붙는 소득이다.	0	1	2	1
우리 삶에 가장 기본적인 소통 수단인 말과 글자, 한 민족과 나라의 정체성의 시금석인 역사와 문화재, 그리고 실제로 함께 부대끼며 살 때 순간마다 마주치게 되는 의식주 등 생활 전반에 관한 행동양식이 모두 문화적 과제들이다.	0	1	2	1
＂꽃달걀말이를 만들기 위해서는 먼저 꽃을 만들어야겠죠?＂	2	0	2	1
우크라이나와 러시아의 전쟁은 앞으로의 행보가 불투명하여, 세계 경제에 큰 타격을 줄 것으로 예측된다.	3	0	0	2
2012년 안티에이징 솔루션 ＇아이오페 스킨리포트 - 안티에이징 편＇의 연구에 따르면, 한국 여성의 40%는 가장 듣고 싶은 칭찬으로 ＇피부가 좋아 보인다.＇＇ 라는 말을 꼽았다. 	1	1	2	0
＂엉덩이 근육과 윗허벅지 근육, 종아리를 자극하고 유연하게 함으로써 코어근육을 사용할 수 있게 해줘요.＂	2	1	2	1
고려대 경영정보대학원 이신철씨가 17일 발표한 석사논문 ＇한국 대기업 인재상의 변화＇에 따르면 기업이 추구하는 인재상은 1960년대 ＇순응형＇에서 1980~1990년대 ＇자기 주도형＇으로, 2000년대에는 전방위 역량을 발휘하면서도 도덕성까지 갖춘 ＇전인적(全人的) 인재＇로 변했다.	1	1	2	0
김수환은 가톨릭이 사회에 관심을 갖지 않아도 되기를 바랐다. 	1	1	2	0
그런데도 서울시는 이날 염화칼슘, 소금 등 제설제 살포작업을 전면 중단했다.	1	1	2	0
＂비타민B1 권장섭취량은 1.1mg이거든요.＂	2	1	2	1
경이로운 세상(wonderland)을 꿈꾸는데 사실 결과적으로는 쓰레기 세상(wasteland)을 만들고 있는 듯하다.	1	1	2	1
특히 2009년(-13.9%) 이후 또다시 두 자릿수로 폭락했다.	0	1	2	0
전략적 사고는 목표 지향적이다.	0	1	2	1
새 기준금리 운용안은 은행의 자금조달액과 가중평균금리 등 정보를 취합해 ＇월말 잔액기준＇ 및 ＇월중 신규 취급액기준＇의 2가지 코픽스 지수를 매 달 산출토록 했다.	0	1	2	1
이런 많은 이유로 나는 살 빼기에 실패할 것이다.	3	0	0	2
＂호르몬을 뜻하는 거예요.＂	2	1	2	1
문제를 해결한 과실은 선진국이 독식할 것이 틀림없다.	1	1	2	2
＂자, 10분이 지났는데요, 설탕이 녹았으니 중 불에서 10분간 더 끓여 줄게요.＂	2	1	2	1
